company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,availability_next_week,availability_next_30days,availability_next_60days,availability_next_90days,availability_next_180days,calendar_link,calendar_script,regular_link,image_url
Speakeasy Murder,speakeasymurder,hello@speakeasymurder.com,623-270-5115,United States/Florida/Orlando,,,659257,Speakeasy Murder Mystery Dinner Show in Orlando,Theater,4,87,54,3,13,34,54,105,https://fareharbor.com/embeds/calendar/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/A8Lf6pVQo2iec00vhMbQ
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Silver Springs,-82.055297,29.212358,329501,Manatees and Monkeys Clear Kayak or Paddleboard Adventure at Silver Springs,Attraction-Kayak-SUP-Transportation,17,76,270,21,90,180,270,540,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329501/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329501/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329501/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/K4PcqRbqQSutSNNoph25
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Silver Springs,-82.055297,29.212358,565620,Clear Kayak Gator Tour at Silver Springs,Water Activities,13,74,270,21,90,180,270,540,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/565620/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/565620/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/565620/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pLTB9kPWSGqUPSnFEDoH
Abstract Orlando,abstractorlando,info@abstractorlando.com,6893488239,United States/Florida/Orlando,,,270765,Fluid Art Experience,Workshop,5,73,259,20,79,173,259,509,https://fareharbor.com/embeds/calendar/abstractorlando/items/270765/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/abstractorlando/items/270765/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/abstractorlando/items/270765/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Orlando,-81.372967,28.565505,329466,LED Glow in the Dark Clear Kayak or Paddleboard in Urban Paradise​ Orlando,Boat Tour-Kayak-SUP-Transportation,13,73,176,13,58,119,176,356,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329466/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329466/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329466/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uANETw8VSo3F4TrF50ak
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Merritt Island,-80.811031,28.621524,329467,Bioluminescence Clear Kayak or Paddle Board Tours,Dolphin-Kayak-Transportation,10,73,180,14,60,120,180,339,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329467/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329467/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329467/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Orlando,-81.372967,28.565505,329469,Paddle with Pups in Paradise - Paddleboard or Clear Kayak Orlando,City Tour-Kayak-SUP-Transportation,11,73,264,16,85,175,264,533,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329469/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329469/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329469/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/96ZT4UWTPiA9wq2Qd5Vg
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Orlando,-81.372967,28.565505,329487,Urban Clear Kayak or Paddleboard in Paradise Tour Orlando,Boat Tour-Kayak-SUP-Transportation,15,73,534,37,175,355,534,1073,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329487/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329487/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329487/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/HRKJZYAvSVqezFb6p3CF
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Merritt Island,-80.811031,28.621524,329496,Dolphin and Manatee Clear Kayak or Paddle board Adventure,Dolphin-Kayak-SUP-Transportation,16,73,268,19,88,178,268,538,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329496/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329496/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329496/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rBLzg8hQil59SNEOu85g
Epic Paddle Adventures,epicpaddleadventures,epicpaddleadventures@gmail.com,(407) 300-8781,United States/Florida/Orlando,-81.372967,28.565505,329516,2-Hour RENTAL Clear Kayaks & Paddleboards in Orlando,Kayak-SUP-Transportation,11,73,808,61,268,538,808,1620,https://fareharbor.com/embeds/calendar/epicpaddleadventures/items/329516/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicpaddleadventures/items/329516/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicpaddleadventures/items/329516/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/UDr45R1DQuyLow1dXjxw
