company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,availability_next_week,availability_next_30days,availability_next_60days,availability_next_90days,availability_next_180days,calendar_link,calendar_script,regular_link,image_url
Savvy Paddles,suppaddleinflorida,savannah@suppaddleinflorida.com,1(386)717-6531,United States/Florida/Titusville,,,671507,Bioluminescent Comb Jelly Glow Kayak Tour,Eco Tour-Environmental Attraction-Kayak-Water Activities-Wildlife,9,77,90,7,30,60,90,180,https://fareharbor.com/embeds/calendar/suppaddleinflorida/items/671507/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/suppaddleinflorida/items/671507/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/suppaddleinflorida/items/671507/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/U2Xu7NQrScO7TJgBiOFT
Savvy Paddles,suppaddleinflorida,savannah@suppaddleinflorida.com,1(386)717-6531,United States/Florida/New Smyrna Beach,,,548963,New Smyrna Mangrove Paddle & Mimosa Tour,SUP,6,75,270,21,90,180,270,540,https://fareharbor.com/embeds/calendar/suppaddleinflorida/items/548963/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/suppaddleinflorida/items/548963/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/suppaddleinflorida/items/548963/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/CI1GLnE0SKitfHTWAvUL
Pirate Bay Paddle,piratebaypaddle,info@piratebaypaddle.com,386-232-8892,United States/Florida/Daytona Beach,,,668145,Sunset Paddle in Ormond Beach,Guided Tour-SUP,5,70,13,1,4,8,13,25,https://fareharbor.com/embeds/calendar/piratebaypaddle/items/668145/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/piratebaypaddle/items/668145/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/piratebaypaddle/items/668145/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/MFcLh1i8RAmf90p1srZa
World Famous Boat Tours,daytonabeachdolphintours,worldfamousboattours@gmail.com,3863313483,United States/Florida/Daytona Beach,-81.012538,29.204101,477159,Sunset River Tour,Boat Tour,9,66,88,4,29,56,88,178,https://fareharbor.com/embeds/calendar/daytonabeachdolphintours/items/477159/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/daytonabeachdolphintours/items/477159/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/daytonabeachdolphintours/items/477159/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/dE7EZ5hS2eirzkpBANkE
Daytona Beach Zipline Adventure by Treetop Trekking,zoomairdaytonabeach,office@daytonazipline.com,(386) 882-8016,United States/Florida/Daytona Beach,,,121750,FULL COMBO (Includes everything),Ropes Course,5,65,447,35,139,300,447,895,https://fareharbor.com/embeds/calendar/zoomairdaytonabeach/items/121750/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/zoomairdaytonabeach/items/121750/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/zoomairdaytonabeach/items/121750/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oU6VrApkTrOQHHoWDNai
Daytona Beach Zipline Adventure by Treetop Trekking,zoomairdaytonabeach,office@daytonazipline.com,(386) 882-8016,United States/Florida/Daytona Beach,,,124087,BIG ZIP COMBO,Zipline,6,65,448,35,140,301,448,896,https://fareharbor.com/embeds/calendar/zoomairdaytonabeach/items/124087/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/zoomairdaytonabeach/items/124087/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/zoomairdaytonabeach/items/124087/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/3nyuxxN4RCGJoPLRy0CC
Daytona Electric Bikes,daytonaelectricbikes,elena@daytonaelectricbikes.com,+1 386 214 2452,United States/Florida/Daytona Beach Shores,-80.970484,29.150171,166927,Hourly E-Bike Rental,E-Bike,6,65,694,54,232,464,694,1390,https://fareharbor.com/embeds/calendar/daytonaelectricbikes/items/166927/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/daytonaelectricbikes/items/166927/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/daytonaelectricbikes/items/166927/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ajiRe3yoQ2aalgXd92PT
World Famous Boat Tours,daytonabeachdolphintours,worldfamousboattours@gmail.com,3863313483,United States/Florida/Daytona Beach,-81.012538,29.204101,477129,Custom Private Charter,Boat Rental-Boat Tour-Private,5,65,1780,120,580,1180,1780,3580,https://fareharbor.com/embeds/calendar/daytonabeachdolphintours/items/477129/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/daytonabeachdolphintours/items/477129/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/daytonabeachdolphintours/items/477129/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
World Famous Boat Tours,daytonabeachdolphintours,worldfamousboattours@gmail.com,3863313483,United States/Florida/Daytona Beach,-81.012538,29.204101,477152,Public Wildlife Tours,Eco Tour-Wildlife,9,65,353,20,114,232,353,714,https://fareharbor.com/embeds/calendar/daytonabeachdolphintours/items/477152/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/daytonabeachdolphintours/items/477152/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/daytonabeachdolphintours/items/477152/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Savvy Paddles,suppaddleinflorida,savannah@suppaddleinflorida.com,1(386)717-6531,United States/Florida/New Smyrna Beach,,,548968,Scenic Mangrove Tunnel Paddle Tour – New Smyrna Beach,SUP,7,65,270,21,90,180,270,540,https://fareharbor.com/embeds/calendar/suppaddleinflorida/items/548968/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/suppaddleinflorida/items/548968/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/suppaddleinflorida/items/548968/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bfo6DA2WTbeFli319g7H
