company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,availability_next_week,availability_next_30days,availability_next_60days,availability_next_90days,availability_next_180days,calendar_link,calendar_script,regular_link,image_url
Fun Rentals St. Augustine,funrentals-staugustine,funrentalsstaug@gmail.com,+1 904-547-2074,United States/Florida/St. Augustine,,,222870,Six Passenger Kart Rentals,ATV/UTV,3,77,810,63,270,540,810,1620,https://fareharbor.com/embeds/calendar/funrentals-staugustine/items/222870/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/funrentals-staugustine/items/222870/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/funrentals-staugustine/items/222870/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/25bYUkLkRzK4jyOKPgsu
Fun Rentals St. Augustine,funrentals-staugustine,funrentalsstaug@gmail.com,+1 904-547-2074,United States/Florida/St. Augustine,,,633337,Electric 6 Passenger Cart,,6,75,1620,126,540,1080,1620,3240,https://fareharbor.com/embeds/calendar/funrentals-staugustine/items/633337/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/funrentals-staugustine/items/633337/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/funrentals-staugustine/items/633337/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/dWgJsySdijmSvaKMTiTw
Spyglass Travel,spyglasstravel,Kevin@spyglasstravel.org,(386) 227-1064,United States/Florida/St. Augustine,,,721455,10 am Walking History Tour of St. Augustine's Historic District,,10,75,55,0,11,34,55,118,https://fareharbor.com/embeds/calendar/spyglasstravel/items/721455/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/spyglasstravel/items/721455/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/spyglasstravel/items/721455/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wPTRfHRSrmjnZBKqaLKQ
The Tasting Tours,thetastingtours,info@thetastingtours.com,904-325-3911,United States/Florida/St. Augustine,,,17910,Corks & Forks Tour (Strolling),Food Tour,8,74,146,7,47,94,146,300,https://fareharbor.com/embeds/calendar/thetastingtours/items/17910/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/thetastingtours/items/17910/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/thetastingtours/items/17910/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
The Tasting Tours,thetastingtours,info@thetastingtours.com,904-325-3911,United States/Florida/St. Augustine,,,17916,Wine & Dine Tour (Rolling),Food Tour,10,74,99,6,32,63,99,200,https://fareharbor.com/embeds/calendar/thetastingtours/items/17916/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/thetastingtours/items/17916/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/thetastingtours/items/17916/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
"St. Augustine Brewery Tours, LLC",staugustinebrewerytours,info@staugustinebrewerytours.com,‪(904) 865-0148‬,United States/Florida/St. Augustine,,,621626,The Beer Bus - Craft Beer in St. Augustine,Guided Tour-Pub Crawl,4,74,130,10,44,88,130,258,https://fareharbor.com/embeds/calendar/staugustinebrewerytours/items/621626/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/staugustinebrewerytours/items/621626/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/staugustinebrewerytours/items/621626/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Jw7HgIKbS2UAOQGfk6oK
"St. Augustine Brewery Tours, LLC",staugustinebrewerytours,info@staugustinebrewerytours.com,‪(904) 865-0148‬,United States/Florida/St. Augustine,,,621631,Walking Beer & History Tour,Guided Tour-Pub Crawl,4,74,130,10,44,88,130,258,https://fareharbor.com/embeds/calendar/staugustinebrewerytours/items/621631/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/staugustinebrewerytours/items/621631/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/staugustinebrewerytours/items/621631/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KaqmrltTnW3ccorMvqX2
Fun Rentals St. Augustine,funrentals-staugustine,funrentalsstaug@gmail.com,+1 904-547-2074,United States/Florida/St. Augustine,,,222882,Four Passenger Kart Rentals,ATV/UTV,2,73,810,63,270,540,810,1620,https://fareharbor.com/embeds/calendar/funrentals-staugustine/items/222882/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/funrentals-staugustine/items/222882/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/funrentals-staugustine/items/222882/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Y558jHrhR42dDfjqx1h1
Fun Rentals St. Augustine,funrentals-staugustine,funrentalsstaug@gmail.com,+1 904-547-2074,United States/Florida/St. Augustine,,,504932,Eight Passenger Kart Rentals,Bike Rental,2,73,801,63,261,531,801,1611,https://fareharbor.com/embeds/calendar/funrentals-staugustine/items/504932/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/funrentals-staugustine/items/504932/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/funrentals-staugustine/items/504932/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YZzrSlhyTdif7AvosF7y
St Augustine Sailing,sta-sail,sas@sta-sail.com,(904) 829-0648,United States/Florida/St. Augustine,,,577617,Sunset Tasting Cruise,Attraction-Boat Rental-Boat Tour-Catamaran-Dinner Boat-Dolphin-Events-Food Tour-Private-Rentals-Sailing-Service-Sports-Water Activities-Wildlife-Wine,12,73,40,3,12,26,40,77,https://fareharbor.com/embeds/calendar/sta-sail/items/577617/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sta-sail/items/577617/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sta-sail/items/577617/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9Xn0shseT6GvqOFx75Rq
